payment_id,expected_settlement_id,expected_status,scenario_type,expected_net,notes
PAY_5074,SET_9072,MATCH,FEE,15001.84,Net matched with fee 306.16 (2.00%)
PAY_5075,SET_9073,AMBIGUOUS_REVIEW,PARTIAL,6428.00,Partial settlement (80.0% of gross)
PAY_5076,SET_9074,AMBIGUOUS_REVIEW,PARTIAL,41314.25,Partial settlement (85.00% of gross)
PAY_5077,SET_9075,MATCH,EXACT,12921.00,Clean 1:1 match
PAY_5078,SET_9076,MATCH,FEE,19608.82,Net matched with fee 400.18 (2.00%)
PAY_5079,SET_9077,MATCH,FORMATTING,3182.00,Matched via format normalization (slash)
PAY_5080,SET_9078,MATCH,EXACT,49534.00,Clean 1:1 match
PAY_5081,SET_9079,MATCH,EXACT,18834.00,Clean 1:1 match
PAY_5082,SET_9080,MATCH,EXACT,12282.00,Clean 1:1 match
PAY_5083,SET_9081,AMBIGUOUS_REVIEW,PARTIAL,3137.40,Partial settlement (70.0% of gross)
PAY_5084,SET_9082,MATCH,FORMATTING,41451.00,Matched via format normalization (slash)
PAY_5085,SET_9083,MATCH,DELAY,37086.00,Settlement delay T+2 days (valid by policy)
PAY_5086,SET_9084,AMBIGUOUS_REVIEW,PARTIAL,6369.60,Partial settlement (80.0% of gross)
PAY_5087,SET_9085,MATCH,FEE,33826.95,Net matched with fee 620.05 (1.800%)
PAY_5088,SET_9086,MATCH,EXACT,19687.00,Clean 1:1 match
PAY_5089,SET_9087,AMBIGUOUS_REVIEW,PARTIAL,32719.20,Partial settlement (80.0% of gross)
PAY_5090,SET_9088,MATCH,EXACT,14029.00,Clean 1:1 match
PAY_5091,SET_9089,MATCH,EXACT,11591.00,Clean 1:1 match
PAY_5092,SET_9090,MATCH,EXACT,26972.00,Clean 1:1 match
PAY_5093,SET_9091,MATCH,FORMATTING,15370.00,Matched via format normalization (spaces)
PAY_5094,SET_9092,MATCH,FORMATTING,45248.00,Matched via format normalization (raw_num)
PAY_5095,SET_9093,MATCH,EXACT,13164.00,Clean 1:1 match
PAY_5096,SET_9094,MATCH,EXACT,9964.00,Clean 1:1 match
PAY_5097,SET_9095,MATCH,EXACT,4108.00,Clean 1:1 match
PAY_5098,SET_9096,AMBIGUOUS_REVIEW,PARTIAL,7514.10,Partial settlement (90.0% of gross)
PAY_5099,SET_9097,MATCH,DELAY,32998.00,Settlement delay T+3 days (valid by policy)
PAY_5100,SET_9098,MATCH,EXACT,39392.00,Clean 1:1 match
PAY_5101,SET_9099,MATCH,FORMATTING,16608.00,Matched via format normalization (slash)
PAY_5102,SET_9100,MATCH,DELAY,37896.00,Settlement delay T+3 days (valid by policy)
PAY_5103,SET_9101,MATCH,FORMATTING,2836.00,Matched via format normalization (spaces)
PAY_5104,SET_9102,MATCH,DELAY,42897.00,Settlement delay T+2 days (valid by policy)
PAY_5105,SET_9103,MATCH,EXACT,28766.00,Clean 1:1 match
PAY_5106,SET_9104,MATCH,FEE,22657.95,Net matched with fee 345.05 (1.500%)
PAY_5107,SET_9105,MATCH,EXACT,44117.00,Clean 1:1 match
PAY_5108,SET_9106,MATCH,DELAY,45660.00,Settlement delay T+3 days (valid by policy)
PAY_5109,SET_9107,MATCH,EXACT,36251.00,Clean 1:1 match
PAY_5110,SET_9108,MATCH,FEE,16439.66,Net matched with fee 301.34 (1.800%)
PAY_5111,SET_9109,MATCH,EXACT,26688.00,Clean 1:1 match
PAY_5112,SET_9110,MATCH,DELAY,3752.00,Settlement delay T+3 days (valid by policy)
PAY_5113,SET_9111,MATCH,EXACT,29169.00,Clean 1:1 match
PAY_5114,SET_9112,MATCH,EXACT,36193.00,Clean 1:1 match
PAY_5115,SET_9113,MATCH,FEE,31390.61,Net matched with fee 575.39 (1.800%)
PAY_5116,SET_9114,AMBIGUOUS_REVIEW,ADVERSARIAL,40103.00,Conflicting duplicate candidate requires investigation / human review
PAY_5117,SET_9116,AMBIGUOUS_REVIEW,PARTIAL,9521.10,Partial settlement (90.0% of gross)
PAY_5118,SET_9117,MATCH,EXACT,14925.00,Clean 1:1 match
PAY_5119,SET_9118,MATCH,EXACT,42648.00,Clean 1:1 match
PAY_5120,SET_9119,MATCH,FORMATTING,19327.00,Matched via format normalization (spaces)
PAY_5121,SET_9120,MATCH,EXACT,31147.00,Clean 1:1 match
PAY_5122,SET_9121,MATCH,FORMATTING,12691.00,Matched via format normalization (dash)
PAY_5123,SET_9122,AMBIGUOUS_REVIEW,ADVERSARIAL,27393.00,Conflicting duplicate candidate requires investigation / human review
PAY_5124,SET_9124,MATCH,FORMATTING,18736.00,Matched via format normalization (raw_num)
PAY_5125,SET_9125,MATCH,FORMATTING,43449.00,Matched via format normalization (spaces)
PAY_5126,SET_9126,AMBIGUOUS_REVIEW,PARTIAL,28746.90,Partial settlement (90.0% of gross)
PAY_5127,SET_9127,MATCH,FEE,20862.24,Net matched with fee 425.76 (2.00%)
PAY_5128,SET_9128,MATCH,EXACT,15850.00,Clean 1:1 match
PAY_5129,SET_9129,MATCH,EXACT,27120.00,Clean 1:1 match
PAY_5130,SET_9130,MATCH,FEE,24680.32,Net matched with fee 503.68 (2.00%)
PAY_5131,SET_9131,MATCH,FEE,2586.61,Net matched with fee 39.39 (1.500%)
PAY_5132,SET_9132,MATCH,EXACT,29055.00,Clean 1:1 match
PAY_5133,SET_9133,MATCH,EXACT,9647.00,Clean 1:1 match
PAY_5134,SET_9134,AMBIGUOUS_REVIEW,ADVERSARIAL,17568.00,Conflicting duplicate candidate requires investigation / human review
PAY_5135,SET_9136,MATCH,FORMATTING,5463.00,Matched via format normalization (raw_num)
PAY_5136,SET_9137,MATCH,EXACT,20952.00,Clean 1:1 match
PAY_5137,SET_9138,MATCH,FORMATTING,4684.00,Matched via format normalization (slash)
PAY_5138,SET_9139,MATCH,FEE,6012.79,Net matched with fee 110.21 (1.800%)
PAY_5139,SET_9140,MATCH,DELAY,41733.00,Settlement delay T+3 days (valid by policy)
PAY_5140,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5141,SET_9141,MATCH,EXACT,21458.00,Clean 1:1 match
PAY_5142,SET_9142,AMBIGUOUS_REVIEW,PARTIAL,19812.00,Partial settlement (80.0% of gross)
PAY_5143,SET_9143,MATCH,EXACT,27204.00,Clean 1:1 match
PAY_5144,SET_9144,MATCH,EXACT,5375.00,Clean 1:1 match
PAY_5145,SET_9145,MATCH,EXACT,38417.00,Clean 1:1 match
PAY_5146,SET_9146,MATCH,EXACT,16844.00,Clean 1:1 match
PAY_5147,SET_9147,AMBIGUOUS_REVIEW,PARTIAL,13335.00,Partial settlement (70.0% of gross)
PAY_5148,SET_9148,MATCH,FEE,22503.31,Net matched with fee 342.69 (1.500%)
PAY_5149,SET_9149,MATCH,FORMATTING,28007.00,Matched via format normalization (spaces)
PAY_5150,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5151,SET_9150,MATCH,FORMATTING,15745.00,Matched via format normalization (raw_num)
PAY_5152,SET_9151,MATCH,EXACT,46027.00,Clean 1:1 match
PAY_5153,SET_9152,AMBIGUOUS_REVIEW,PARTIAL,657.00,Partial settlement (90.0% of gross)
PAY_5154,SET_9153,MATCH,FEE,15051.78,Net matched with fee 229.22 (1.500%)
PAY_5155,SET_9154,MATCH,FEE,41292.18,Net matched with fee 628.82 (1.500%)
PAY_5156,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5157,SET_9155,MATCH,FEE,6448.79,Net matched with fee 118.21 (1.800%)
PAY_5158,SET_9156,MATCH,EXACT,29089.00,Clean 1:1 match
PAY_5159,SET_9157,AMBIGUOUS_REVIEW,PARTIAL,15632.00,Partial settlement (80.0% of gross)
PAY_5160,SET_9158,MATCH,EXACT,8861.00,Clean 1:1 match
PAY_5161,SET_9159,MATCH,EXACT,17040.00,Clean 1:1 match
PAY_5162,SET_9160,MATCH,FORMATTING,22398.00,Matched via format normalization (spaces)
PAY_5163,SET_9161,MATCH,FEE,9235.52,Net matched with fee 188.48 (2.00%)
PAY_5164,SET_9162,MATCH,FEE,46804.08,Net matched with fee 857.92 (1.800%)
PAY_5165,SET_9163,MATCH,FEE,23735.92,Net matched with fee 435.08 (1.800%)
PAY_5166,SET_9164,MATCH,FEE,17215.44,Net matched with fee 315.56 (1.800%)
PAY_5167,SET_9165,MATCH,EXACT,24355.00,Clean 1:1 match
PAY_5168,SET_9166,MATCH,FORMATTING,24544.00,Matched via format normalization (spaces)
PAY_5169,SET_9167,MATCH,DELAY,40802.00,Settlement delay T+2 days (valid by policy)
PAY_5170,SET_9168,MATCH,DELAY,4342.00,Settlement delay T+3 days (valid by policy)
PAY_5171,SET_9169,MATCH,EXACT,26958.00,Clean 1:1 match
PAY_5172,SET_9170,MATCH,FORMATTING,20146.00,Matched via format normalization (dash)
PAY_5173,SET_9171,AMBIGUOUS_REVIEW,PARTIAL,31885.20,Partial settlement (90.0% of gross)
PAY_5174,SET_9172,MATCH,EXACT,44140.00,Clean 1:1 match
PAY_5175,SET_9173,MATCH,EXACT,43120.00,Clean 1:1 match
PAY_5176,SET_9174,MATCH,EXACT,2344.00,Clean 1:1 match
PAY_5177,SET_9175,MATCH,FEE,28756.14,Net matched with fee 586.86 (2.00%)
PAY_5178,SET_9176,MATCH,EXACT,6711.00,Clean 1:1 match
PAY_5179,SET_9177,MATCH,DELAY,25766.16,Settlement delay T+2 days (valid by policy)
PAY_5180,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5181,SET_9178,MATCH,FORMATTING,42109.00,Matched via format normalization (dash)
PAY_5182,SET_9179,MATCH,EXACT,16162.00,Clean 1:1 match
PAY_5183,SET_9180,MATCH,FORMATTING,36520.00,Matched via format normalization (slash)
PAY_5184,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5185,SET_9181,AMBIGUOUS_REVIEW,PARTIAL,7745.60,Partial settlement (80.0% of gross)
PAY_5186,SET_9182,MATCH,EXACT,43523.00,Clean 1:1 match
PAY_5187,SET_9183,MATCH,EXACT,23677.00,Clean 1:1 match
PAY_5188,SET_9184,AMBIGUOUS_REVIEW,ADVERSARIAL,11619.00,Conflicting duplicate candidate requires investigation / human review
PAY_5189,SET_9186,MATCH,EXACT,48809.00,Clean 1:1 match
PAY_5190,SET_9187,MATCH,EXACT,29578.00,Clean 1:1 match
PAY_5191,SET_9188,MATCH,FEE,32621.06,Net matched with fee 597.94 (1.800%)
PAY_5192,SET_9189,MATCH,FEE,42730.28,Net matched with fee 650.72 (1.500%)
PAY_5193,SET_9190,MATCH,FEE,41598.50,Net matched with fee 762.50 (1.800%)
PAY_5194,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5195,SET_9191,MATCH,EXACT,46887.00,Clean 1:1 match
PAY_5196,SET_9192,MATCH,FORMATTING,21309.00,Matched via format normalization (dash)
PAY_5197,SET_9193,MATCH,EXACT,18223.00,Clean 1:1 match
PAY_5198,SET_9194,MATCH,EXACT,34970.00,Clean 1:1 match
PAY_5199,SET_9195,MATCH,EXACT,46191.00,Clean 1:1 match
PAY_5200,SET_9196,AMBIGUOUS_REVIEW,PARTIAL,13656.60,Partial settlement (90.0% of gross)
PAY_5201,SET_9197,MATCH,FORMATTING,27462.00,Matched via format normalization (lower)
PAY_5202,SET_9198,MATCH,FORMATTING,20681.00,Matched via format normalization (lower)
PAY_5203,SET_9199,MATCH,DELAY,45211.00,Settlement delay T+2 days (valid by policy)
PAY_5204,SET_9200,AMBIGUOUS_REVIEW,ADVERSARIAL,5794.00,Conflicting duplicate candidate requires investigation / human review
PAY_5205,SET_9202,MATCH,FORMATTING,48997.00,Matched via format normalization (slash)
PAY_5206,SET_9203,AMBIGUOUS_REVIEW,ADVERSARIAL,4130.00,Conflicting duplicate candidate requires investigation / human review
PAY_5207,SET_9205,MATCH,EXACT,8210.00,Clean 1:1 match
PAY_5208,SET_9206,MATCH,EXACT,3571.00,Clean 1:1 match
PAY_5209,SET_9207,MATCH,FORMATTING,38074.00,Matched via format normalization (slash)
PAY_5210,SET_9208,MATCH,EXACT,31800.00,Clean 1:1 match
PAY_5211,SET_9209,MATCH,DELAY,24288.00,Settlement delay T+2 days (valid by policy)
PAY_5212,SET_9210,MATCH,DELAY,36963.00,Settlement delay T+3 days (valid by policy)
PAY_5213,SET_9211,AMBIGUOUS_REVIEW,PARTIAL,10219.55,Partial settlement (85.00% of gross)
PAY_5214,SET_9212,MATCH,FEE,588.00,Net matched with fee 12.00 (2.00%)
PAY_5215,SET_9213,AMBIGUOUS_REVIEW,ADVERSARIAL,43279.00,Conflicting duplicate candidate requires investigation / human review
PAY_5216,SET_9215,MATCH,DELAY,48760.00,Settlement delay T+2 days (valid by policy)
PAY_5217,SET_9216,MATCH,FORMATTING,34965.00,Matched via format normalization (spaces)
PAY_5218,SET_9217,AMBIGUOUS_REVIEW,PARTIAL,19159.00,Partial settlement (85.00% of gross)
PAY_5219,SET_9218,AMBIGUOUS_REVIEW,PARTIAL,15020.60,Partial settlement (70.0% of gross)
PAY_5220,SET_9219,MATCH,EXACT,10516.00,Clean 1:1 match
PAY_5221,SET_9220,MATCH,FORMATTING,29239.00,Matched via format normalization (spaces)
PAY_5222,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5223,SET_9221,MATCH,EXACT,49675.00,Clean 1:1 match
PAY_5224,SET_9222,MATCH,DELAY,7467.00,Settlement delay T+3 days (valid by policy)
PAY_5225,SET_9223,MATCH,EXACT,14651.00,Clean 1:1 match
PAY_5226,SET_9224,AMBIGUOUS_REVIEW,ADVERSARIAL,19953.00,Conflicting duplicate candidate requires investigation / human review
PAY_5227,SET_9226,MATCH,EXACT,9193.00,Clean 1:1 match
PAY_5228,SET_9227,MATCH,FEE,7917.87,Net matched with fee 145.13 (1.800%)
PAY_5229,SET_9228,MATCH,EXACT,28423.00,Clean 1:1 match
PAY_5230,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5231,SET_9229,AMBIGUOUS_REVIEW,ADVERSARIAL,26222.00,Conflicting duplicate candidate requires investigation / human review
PAY_5232,SET_9231,AMBIGUOUS_REVIEW,PARTIAL,1213.80,Partial settlement (85.00% of gross)
PAY_5233,SET_9232,MATCH,FORMATTING,28333.00,Matched via format normalization (spaces)
PAY_5234,SET_9233,AMBIGUOUS_REVIEW,PARTIAL,6585.80,Partial settlement (85.00% of gross)
PAY_5235,SET_9234,MATCH,EXACT,40709.00,Clean 1:1 match
PAY_5236,SET_9235,MATCH,DELAY,7137.00,Settlement delay T+3 days (valid by policy)
PAY_5237,SET_9236,MATCH,EXACT,5354.00,Clean 1:1 match
PAY_5238,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5239,SET_9237,MATCH,EXACT,33655.00,Clean 1:1 match
PAY_5240,SET_9238,MATCH,FORMATTING,23096.00,Matched via format normalization (slash)
PAY_5241,SET_9239,AMBIGUOUS_REVIEW,PARTIAL,7837.60,Partial settlement (80.0% of gross)
PAY_5242,SET_9240,MATCH,EXACT,10218.00,Clean 1:1 match
PAY_5243,SET_9241,MATCH,EXACT,41353.00,Clean 1:1 match
PAY_5244,SET_9242,MATCH,FORMATTING,37194.00,Matched via format normalization (lower)
PAY_5245,SET_9243,MATCH,FORMATTING,29020.00,Matched via format normalization (spaces)
PAY_5246,SET_9244,MATCH,FORMATTING,20045.00,Matched via format normalization (raw_num)
PAY_5247,SET_9245,MATCH,EXACT,23264.00,Clean 1:1 match
PAY_5248,SET_9246,AMBIGUOUS_REVIEW,ADVERSARIAL,29816.00,Conflicting duplicate candidate requires investigation / human review
PAY_5249,SET_9248,MATCH,EXACT,19013.00,Clean 1:1 match
PAY_5250,SET_9249,MATCH,EXACT,38232.00,Clean 1:1 match
PAY_5251,SET_9250,MATCH,FORMATTING,42918.00,Matched via format normalization (raw_num)
PAY_5252,SET_9251,AMBIGUOUS_REVIEW,PARTIAL,29751.30,Partial settlement (90.0% of gross)
PAY_5253,SET_9252,AMBIGUOUS_REVIEW,ADVERSARIAL,22707.00,Conflicting duplicate candidate requires investigation / human review
PAY_5254,SET_9254,AMBIGUOUS_REVIEW,ADVERSARIAL,42544.00,Conflicting duplicate candidate requires investigation / human review
PAY_5255,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5256,SET_9256,MATCH,EXACT,34458.00,Clean 1:1 match
PAY_5257,SET_9257,MATCH,FEE,18401.70,Net matched with fee 337.30 (1.800%)
PAY_5258,SET_9258,AMBIGUOUS_REVIEW,PARTIAL,19018.75,Partial settlement (85.00% of gross)
PAY_5259,SET_9259,MATCH,EXACT,21806.00,Clean 1:1 match
PAY_5260,SET_9260,MATCH,FORMATTING,47630.00,Matched via format normalization (lower)
PAY_5261,SET_9261,MATCH,EXACT,38390.00,Clean 1:1 match
PAY_5262,SET_9262,MATCH,DELAY,43195.00,Settlement delay T+2 days (valid by policy)
PAY_5263,SET_9263,MATCH,EXACT,46654.00,Clean 1:1 match
PAY_5264,SET_9264,MATCH,FORMATTING,24886.00,Matched via format normalization (slash)
PAY_5265,SET_9265,MATCH,EXACT,46260.00,Clean 1:1 match
PAY_5266,SET_9266,AMBIGUOUS_REVIEW,PARTIAL,20325.20,Partial settlement (85.00% of gross)
PAY_5267,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5268,SET_9267,MATCH,DELAY,14745.08,Settlement delay T+2 days (valid by policy)
PAY_5269,SET_9268,MATCH,DELAY,6828.00,Settlement delay T+3 days (valid by policy)
PAY_5270,SET_9269,MATCH,EXACT,40703.00,Clean 1:1 match
PAY_5271,SET_9270,MATCH,EXACT,12051.00,Clean 1:1 match
PAY_5272,SET_9271,MATCH,FEE,26583.48,Net matched with fee 542.52 (2.00%)
PAY_5273,SET_9272,MATCH,EXACT,40215.00,Clean 1:1 match
PAY_5274,SET_9273,MATCH,DELAY,15874.00,Settlement delay T+2 days (valid by policy)
PAY_5275,SET_9274,MATCH,EXACT,44653.00,Clean 1:1 match
PAY_5276,SET_9275,MATCH,FORMATTING,18666.00,Matched via format normalization (raw_num)
PAY_5277,SET_9276,MATCH,FORMATTING,27637.00,Matched via format normalization (raw_num)
PAY_5278,SET_9277,MATCH,FORMATTING,16584.00,Matched via format normalization (lower)
PAY_5279,SET_9278,MATCH,FEE,6798.39,Net matched with fee 124.61 (1.800%)
PAY_5280,SET_9279,MATCH,DELAY,5582.08,Settlement delay T+3 days (valid by policy)
PAY_5281,SET_9280,MATCH,EXACT,33843.00,Clean 1:1 match
PAY_5282,SET_9281,MATCH,EXACT,29765.00,Clean 1:1 match
PAY_5283,SET_9282,MATCH,FEE,3634.65,Net matched with fee 55.35 (1.500%)
PAY_5284,SET_9283,MATCH,DELAY,25507.00,Settlement delay T+2 days (valid by policy)
PAY_5285,SET_9284,MATCH,FEE,20705.47,Net matched with fee 379.53 (1.800%)
PAY_5286,SET_9285,MATCH,FEE,41939.10,Net matched with fee 855.90 (2.00%)
PAY_5287,SET_9286,MATCH,DELAY,2710.00,Settlement delay T+2 days (valid by policy)
PAY_5288,SET_9287,MATCH,EXACT,46438.00,Clean 1:1 match
PAY_5289,SET_9288,MATCH,FEE,1416.10,Net matched with fee 28.90 (2.00%)
PAY_5290,SET_9289,MATCH,FORMATTING,36166.00,Matched via format normalization (dash)
PAY_5291,SET_9290,MATCH,EXACT,19081.00,Clean 1:1 match
PAY_5292,SET_9291,MATCH,EXACT,15826.00,Clean 1:1 match
PAY_5293,SET_9292,MATCH,FORMATTING,32956.00,Matched via format normalization (raw_num)
PAY_5294,SET_9293,AMBIGUOUS_REVIEW,PARTIAL,13646.75,Partial settlement (85.00% of gross)
PAY_5295,SET_9294,MATCH,FORMATTING,302.00,Matched via format normalization (slash)
PAY_5296,SET_9295,MATCH,EXACT,27500.00,Clean 1:1 match
PAY_5297,SET_9296,AMBIGUOUS_REVIEW,PARTIAL,31207.50,Partial settlement (90.0% of gross)
PAY_5298,SET_9297,MATCH,DELAY,3053.00,Settlement delay T+3 days (valid by policy)
PAY_5299,SET_9298,MATCH,EXACT,49176.00,Clean 1:1 match
PAY_5300,SET_9299,MATCH,EXACT,16002.00,Clean 1:1 match
PAY_5301,SET_9300,MATCH,EXACT,3105.00,Clean 1:1 match
PAY_5302,SET_9301,MATCH,EXACT,45071.00,Clean 1:1 match
PAY_5303,SET_9302,MATCH,DELAY,4335.00,Settlement delay T+2 days (valid by policy)
PAY_5304,SET_9303,MATCH,FEE,13142.78,Net matched with fee 268.22 (2.00%)
PAY_5305,SET_9304,MATCH,EXACT,20882.00,Clean 1:1 match
PAY_5306,SET_9305,MATCH,FORMATTING,31224.00,Matched via format normalization (slash)
PAY_5307,SET_9306,MATCH,EXACT,23594.00,Clean 1:1 match
PAY_5308,SET_9307,MATCH,FEE,8231.64,Net matched with fee 125.36 (1.500%)
PAY_5309,SET_9308,MATCH,EXACT,26415.00,Clean 1:1 match
PAY_5310,SET_9309,MATCH,FORMATTING,12443.00,Matched via format normalization (lower)
PAY_5311,SET_9310,MATCH,FEE,17360.78,Net matched with fee 318.22 (1.800%)
PAY_5312,SET_9311,MATCH,EXACT,28020.00,Clean 1:1 match
PAY_5313,SET_9312,MATCH,EXACT,19452.00,Clean 1:1 match
PAY_5314,SET_9313,MATCH,FEE,42861.29,Net matched with fee 652.71 (1.500%)
PAY_5315,,UNMATCHED,MISSING,,Unsettled transaction / Missing settlement record
PAY_5316,SET_9314,MATCH,DELAY,45404.00,Settlement delay T+3 days (valid by policy)
